order_id,date,month,month_num,quarter,category,product,state,city,quantity,unit_price,discount_pct,revenue,profit,channel,payment,device,returned,rating,cost
ORD10013,2024-02-11,February,2,Q1,Books,UPSC Guide,Gujarat,Ahmedabad,5,505,0,2525.0,525.0,Social Media,Cash on Delivery,Desktop,0,4,2000
ORD10014,2024-05-11,May,5,Q2,Beauty,Hair Oil,Haryana,Gurugram,1,333,20,266.4,116.4,Paid Ad,UPI,Desktop,0,5,150
ORD10015,2024-12-07,December,12,Q4,Books,UPSC Guide,Telangana,Hyderabad,1,490,5,465.5,65.5,Referral,Credit Card,Mobile,0,5,400
ORD10016,2024-12-07,December,12,Q4,Fashion,Jeans,Odisha,Bhubaneswar,2,1733,20,2772.8,1172.8,Referral,UPI,Desktop,0,4,1600
ORD10017,2024-02-27,February,2,Q1,Sports,Yoga Mat,Uttar Pradesh,Lucknow,1,974,5,925.3,525.3,Referral,Wallet,Tablet,0,5,400
ORD10018,2024-04-15,April,4,Q2,Home & Kitchen,Pressure Cooker,Madhya Pradesh,Bhopal,3,1733,10,4679.1,2279.1,Direct,Debit Card,Desktop,0,4,2400
ORD10019,2024-05-27,May,5,Q2,Fashion,Saree,Madhya Pradesh,Bhopal,1,1750,20,1400.0,200.0,Organic Search,Debit Card,Tablet,0,4,1200
ORD10020,2024-10-12,October,10,Q4,Groceries,Dry Fruits 500g,Uttar Pradesh,Bareilly,1,436,30,305.2,-44.8,Email Campaign,Credit Card,Mobile,0,3,350
ORD10021,2024-03-07,March,3,Q1,Books,UPSC Guide,Kerala,Kochi,3,619,10,1671.3,471.3,Direct,Wallet,Mobile,0,4,1200
ORD10022,2024-10-20,October,10,Q4,Beauty,Moisturiser,Karnataka,Bengaluru,3,465,15,1185.75,585.75,Referral,Cash on Delivery,Mobile,0,2,600
ORD10023,2024-05-02,May,5,Q2,Books,UPSC Guide,Uttar Pradesh,Lucknow,1,524,20,419.2,19.2,Organic Search,UPI,Desktop,0,4,400
ORD10024,2024-11-20,November,11,Q4,Electronics,Smartphone,Uttar Pradesh,Bareilly,1,20785,0,20785.0,5785.0,Direct,Cash on Delivery,Mobile,0,4,15000
ORD10025,2024-10-11,October,10,Q4,Home & Kitchen,Air Fryer,Karnataka,Bengaluru,3,2985,15,7611.75,111.75,Email Campaign,UPI,Mobile,0,4,7500
ORD10026,2024-12-02,December,12,Q4,Beauty,Face Serum,Delhi,Delhi,2,532,20,851.2,251.2,Paid Ad,Debit Card,Desktop,0,3,600
ORD10027,2024-12-13,December,12,Q4,Electronics,Smartwatch,Madhya Pradesh,Bhopal,1,4410,0,4410.0,910.0,Organic Search,UPI,Mobile,0,4,3500
ORD10028,2024-04-28,April,4,Q2,Groceries,Organic Honey,Uttar Pradesh,Bareilly,3,390,5,1111.5,271.5,Organic Search,Cash on Delivery,Desktop,0,4,840
ORD10029,2024-02-26,February,2,Q1,Fashion,Kurta Set,Rajasthan,Jaipur,2,1193,20,1908.8,708.8,Organic Search,UPI,Desktop,0,5,1200
ORD10030,2024-04-30,April,4,Q2,Groceries,Dry Fruits 500g,Rajasthan,Jaipur,2,693,25,1039.5,339.5,Organic Search,Cash on Delivery,Mobile,0,3,700
ORD10031,2024-08-15,August,8,Q3,Beauty,Face Serum,Tamil Nadu,Chennai,1,376,15,319.6,19.6,Organic Search,UPI,Mobile,1,5,300
ORD10032,2024-10-11,October,10,Q4,Home & Kitchen,Air Fryer,Tamil Nadu,Chennai,1,4501,20,3600.8,1100.8,Organic Search,Credit Card,Mobile,0,4,2500
ORD10033,2024-06-16,June,6,Q2,Electronics,Laptop,Gujarat,Ahmedabad,3,58497,5,166716.45,61716.45,Paid Ad,Debit Card,Mobile,0,4,105000
ORD10034,2024-07-23,July,7,Q3,Beauty,Hair Oil,Uttar Pradesh,Lucknow,2,223,0,446.0,146.0,Email Campaign,Wallet,Mobile,0,3,300
ORD10035,2024-10-17,October,10,Q4,Electronics,Smartwatch,Gujarat,Ahmedabad,1,3967,20,3173.6,-326.4,Paid Ad,Cash on Delivery,Mobile,0,5,3500
ORD10036,2024-05-10,May,5,Q2,Fashion,Jeans,Uttar Pradesh,Bareilly,3,1184,0,3552.0,1152.0,Referral,UPI,Mobile,1,4,2400
ORD10037,2024-03-25,March,3,Q1,Groceries,Dry Fruits 500g,Telangana,Hyderabad,1,452,10,406.8,56.8,Direct,UPI,Mobile,0,4,350
ORD10038,2024-04-16,April,4,Q2,Electronics,Smartwatch,Gujarat,Ahmedabad,2,7129,0,14258.0,7258.0,Email Campaign,Net Banking,Mobile,0,4,7000
ORD10039,2024-11-29,November,11,Q4,Sports,Yoga Mat,Punjab,Chandigarh,3,996,0,2988.0,1788.0,Paid Ad,Credit Card,Desktop,0,4,1200
ORD10040,2024-02-07,February,2,Q1,Fashion,Sneakers,Tamil Nadu,Chennai,1,3962,5,3763.9,2263.9,Paid Ad,UPI,Mobile,1,4,1500
ORD10041,2024-06-10,June,6,Q2,Fashion,Saree,Haryana,Gurugram,1,2519,0,2519.0,1319.0,Referral,UPI,Mobile,0,5,1200
ORD10042,2024-02-28,February,2,Q1,Fashion,Jeans,West Bengal,Kolkata,1,1504,10,1353.6,553.6,Paid Ad,Credit Card,Tablet,0,4,800
ORD10043,2024-11-07,November,11,Q4,Electronics,Earbuds,Kerala,Kochi,3,1356,10,3661.2,61.2,Social Media,Cash on Delivery,Mobile,0,2,3600
ORD10044,2024-01-15,January,1,Q1,Fashion,Jeans,Telangana,Hyderabad,1,1404,20,1123.2,323.2,Organic Search,Debit Card,Mobile,0,3,800
ORD10045,2024-07-08,July,7,Q3,Books,Data Science Book,Gujarat,Ahmedabad,2,742,20,1187.2,187.2,Referral,UPI,Desktop,0,4,1000
ORD10046,2024-05-04,May,5,Q2,Electronics,Earbuds,Haryana,Gurugram,1,1866,5,1772.7,572.7,Organic Search,UPI,Mobile,0,3,1200
ORD10047,2024-12-06,December,12,Q4,Books,UPSC Guide,Uttar Pradesh,Lucknow,1,630,5,598.5,198.5,Email Campaign,UPI,Mobile,0,5,400
ORD10048,2024-12-26,December,12,Q4,Books,UPSC Guide,Gujarat,Ahmedabad,3,633,5,1804.05,604.05,Paid Ad,Debit Card,Mobile,0,3,1200
ORD10049,2024-05-26,May,5,Q2,Beauty,Moisturiser,Odisha,Bhubaneswar,1,522,25,391.5,191.5,Email Campaign,Net Banking,Mobile,0,5,200
ORD10050,2024-01-25,January,1,Q1,Groceries,Dry Fruits 500g,Delhi,Delhi,2,594,0,1188.0,488.0,Referral,Debit Card,Mobile,0,5,700
ORD10051,2024-04-21,April,4,Q2,Fashion,Saree,Punjab,Chandigarh,2,1757,0,3514.0,1114.0,Email Campaign,Cash on Delivery,Desktop,0,3,2400
ORD10052,2024-12-19,December,12,Q4,Home & Kitchen,Air Fryer,Karnataka,Bengaluru,2,3178,5,6038.2,1038.2,Paid Ad,Net Banking,Mobile,0,4,5000
ORD10053,2024-09-26,September,9,Q3,Home & Kitchen,Air Fryer,Tamil Nadu,Chennai,3,3398,20,8155.2,655.2,Referral,UPI,Desktop,0,4,7500
ORD10054,2024-07-19,July,7,Q3,Fashion,Kurta Set,Haryana,Gurugram,1,1155,5,1097.25,497.25,Direct,UPI,Mobile,0,5,600
ORD10055,2024-08-23,August,8,Q3,Home & Kitchen,Air Fryer,Karnataka,Bengaluru,1,4840,0,4840.0,2340.0,Direct,UPI,Mobile,0,3,2500
ORD10056,2024-08-10,August,8,Q3,Fashion,Kurta Set,Uttar Pradesh,Bareilly,1,1069,15,908.65,308.65,Organic Search,UPI,Mobile,0,3,600
ORD10057,2024-04-09,April,4,Q2,Electronics,Earbuds,Odisha,Bhubaneswar,1,1712,0,1712.0,512.0,Referral,UPI,Mobile,0,5,1200
ORD10058,2024-04-07,April,4,Q2,Electronics,Earbuds,Uttar Pradesh,Bareilly,1,1371,30,959.7,-240.3,Paid Ad,UPI,Mobile,0,5,1200
ORD10059,2024-05-08,May,5,Q2,Books,Data Science Book,Uttar Pradesh,Lucknow,2,661,5,1255.9,255.9,Organic Search,Debit Card,Desktop,0,5,1000
ORD10060,2024-04-28,April,4,Q2,Fashion,Saree,Odisha,Bhubaneswar,3,3462,15,8828.1,5228.1,Referral,Credit Card,Mobile,0,3,3600
ORD10061,2024-09-22,September,9,Q3,Sports,Dumbbell Set,Tamil Nadu,Chennai,1,2120,15,1802.0,1002.0,Paid Ad,UPI,Mobile,0,5,800
ORD10062,2024-10-12,October,10,Q4,Home & Kitchen,Air Fryer,Kerala,Kochi,1,5017,5,4766.15,2266.15,Referral,UPI,Mobile,0,5,2500
ORD10063,2024-08-04,August,8,Q3,Fashion,Saree,Punjab,Chandigarh,1,2039,15,1733.15,533.15,Email Campaign,Credit Card,Desktop,0,4,1200
ORD10064,2024-11-24,November,11,Q4,Beauty,Moisturiser,Tamil Nadu,Chennai,1,324,30,226.8,26.8,Social Media,UPI,Mobile,0,1,200
ORD10065,2024-07-18,July,7,Q3,Home & Kitchen,Bedsheet Set,Uttar Pradesh,Bareilly,1,567,15,481.95,81.95,Social Media,Wallet,Mobile,0,3,400
ORD10066,2024-03-07,March,3,Q1,Home & Kitchen,Air Fryer,Madhya Pradesh,Bhopal,2,2860,10,5148.0,148.0,Direct,UPI,Mobile,0,3,5000
ORD10067,2024-06-04,June,6,Q2,Beauty,Hair Oil,Madhya Pradesh,Bhopal,1,253,0,253.0,103.0,Email Campaign,UPI,Desktop,0,4,150
ORD10068,2024-09-16,September,9,Q3,Electronics,Laptop,Karnataka,Bengaluru,1,64451,0,64451.0,29451.0,Social Media,Debit Card,Mobile,0,5,35000
ORD10069,2024-10-01,October,10,Q4,Electronics,Laptop,Delhi,Delhi,1,45581,20,36464.8,1464.8,Organic Search,Credit Card,Mobile,0,4,35000
ORD10070,2024-01-02,January,1,Q1,Fashion,Saree,Madhya Pradesh,Bhopal,1,2221,0,2221.0,1021.0,Referral,Credit Card,Desktop,1,5,1200
ORD10071,2024-10-08,October,10,Q4,Books,UPSC Guide,Tamil Nadu,Chennai,3,445,20,1068.0,-132.0,Referral,Net Banking,Mobile,0,5,1200
ORD10072,2024-10-18,October,10,Q4,Beauty,Moisturiser,Kerala,Kochi,1,475,20,380.0,180.0,Social Media,Debit Card,Desktop,0,5,200
ORD10073,2024-06-17,June,6,Q2,Groceries,Dry Fruits 500g,Kerala,Kochi,1,487,15,413.95,63.95,Referral,UPI,Mobile,0,2,350
ORD10074,2024-12-28,December,12,Q4,Beauty,Hair Oil,Madhya Pradesh,Bhopal,5,320,5,1520.0,770.0,Organic Search,Debit Card,Desktop,0,4,750
ORD10075,2024-03-29,March,3,Q1,Electronics,Smartphone,Karnataka,Bengaluru,2,20143,5,38271.7,8271.7,Social Media,Credit Card,Mobile,0,4,30000
ORD10076,2024-03-25,March,3,Q1,Electronics,Smartphone,Karnataka,Bengaluru,2,24112,5,45812.8,15812.8,Email Campaign,Debit Card,Desktop,0,4,30000
ORD10077,2024-12-19,December,12,Q4,Groceries,Organic Honey,Maharashtra,Mumbai,2,386,20,617.6,57.6,Email Campaign,UPI,Mobile,0,5,560
ORD10078,2024-08-04,August,8,Q3,Sports,Dumbbell Set,West Bengal,Kolkata,1,1321,20,1056.8,256.8,Organic Search,UPI,Mobile,0,5,800
ORD10079,2024-03-21,March,3,Q1,Fashion,Sneakers,Madhya Pradesh,Bhopal,1,2592,5,2462.4,962.4,Paid Ad,UPI,Mobile,0,4,1500
ORD10080,2024-05-14,May,5,Q2,Books,UPSC Guide,West Bengal,Kolkata,2,486,15,826.2,26.2,Referral,Credit Card,Desktop,0,4,800
ORD10081,2024-03-27,March,3,Q1,Groceries,Organic Honey,Haryana,Gurugram,1,499,15,424.15,144.15,Paid Ad,Wallet,Tablet,0,4,280
ORD10082,2024-09-22,September,9,Q3,Books,Data Science Book,Uttar Pradesh,Bareilly,2,824,10,1483.2,483.2,Email Campaign,Net Banking,Mobile,1,5,1000
ORD10083,2024-08-20,August,8,Q3,Fashion,Saree,Delhi,Delhi,1,1367,10,1230.3,30.3,Social Media,Net Banking,Desktop,0,5,1200
ORD10084,2024-10-07,October,10,Q4,Beauty,Hair Oil,Uttar Pradesh,Lucknow,4,165,0,660.0,60.0,Direct,Net Banking,Mobile,0,5,600
ORD10085,2024-01-11,January,1,Q1,Beauty,Face Serum,Madhya Pradesh,Bhopal,5,374,20,1496.0,-4.0,Organic Search,UPI,Tablet,1,3,1500
ORD10086,2024-01-04,January,1,Q1,Fashion,Jeans,Rajasthan,Jaipur,1,1601,20,1280.8,480.8,Social Media,Cash on Delivery,Mobile,0,5,800
ORD10087,2024-02-23,February,2,Q1,Fashion,Jeans,Uttar Pradesh,Bareilly,5,1317,20,5268.0,1268.0,Email Campaign,Cash on Delivery,Mobile,0,4,4000
ORD10088,2024-04-05,April,4,Q2,Books,Data Science Book,West Bengal,Kolkata,2,880,10,1584.0,584.0,Email Campaign,UPI,Mobile,0,3,1000
ORD10089,2024-02-25,February,2,Q1,Electronics,Smartphone,Gujarat,Ahmedabad,2,22612,15,38440.4,8440.4,Referral,UPI,Mobile,0,4,30000
ORD10090,2024-05-18,May,5,Q2,Home & Kitchen,Bedsheet Set,Haryana,Gurugram,2,711,10,1279.8,479.8,Direct,Net Banking,Desktop,0,5,800
ORD10091,2024-02-10,February,2,Q1,Electronics,Earbuds,Punjab,Chandigarh,1,1487,15,1263.95,63.95,Organic Search,UPI,Desktop,1,5,1200
ORD10092,2024-01-28,January,1,Q1,Fashion,Kurta Set,Uttar Pradesh,Lucknow,1,1235,10,1111.5,511.5,Referral,UPI,Mobile,0,4,600
ORD10093,2024-04-01,April,4,Q2,Fashion,Jeans,Haryana,Gurugram,2,926,15,1574.2,-25.8,Paid Ad,UPI,Tablet,0,2,1600
ORD10094,2024-05-27,May,5,Q2,Beauty,Face Serum,Uttar Pradesh,Bareilly,1,652,25,489.0,189.0,Organic Search,UPI,Mobile,0,4,300
ORD10095,2024-10-13,October,10,Q4,Fashion,Jeans,Maharashtra,Mumbai,2,1274,5,2420.6,820.6,Email Campaign,Credit Card,Tablet,0,5,1600
ORD10096,2024-04-29,April,4,Q2,Fashion,Saree,Haryana,Gurugram,1,3407,10,3066.3,1866.3,Email Campaign,Wallet,Desktop,0,3,1200
ORD10097,2024-05-24,May,5,Q2,Sports,Yoga Mat,Maharashtra,Mumbai,2,788,30,1103.2,303.2,Referral,UPI,Mobile,0,3,800
ORD10098,2024-04-11,April,4,Q2,Home & Kitchen,Pressure Cooker,Kerala,Kochi,3,910,0,2730.0,330.0,Paid Ad,UPI,Mobile,0,2,2400
ORD10099,2024-05-17,May,5,Q2,Beauty,Face Serum,Odisha,Bhubaneswar,1,785,10,706.5,406.5,Organic Search,Credit Card,Mobile,0,4,300
ORD10100,2024-02-09,February,2,Q1,Beauty,Face Serum,Karnataka,Bengaluru,2,644,15,1094.8,494.8,Referral,UPI,Mobile,0,4,600
ORD10101,2024-11-29,November,11,Q4,Fashion,Sneakers,Uttar Pradesh,Bareilly,1,2755,25,2066.25,566.25,Email Campaign,Net Banking,Mobile,0,5,1500
ORD10102,2024-04-03,April,4,Q2,Fashion,Saree,Karnataka,Bengaluru,1,3065,20,2452.0,1252.0,Direct,Cash on Delivery,Desktop,0,4,1200
ORD10103,2024-09-21,September,9,Q3,Sports,Dumbbell Set,Maharashtra,Mumbai,2,1782,15,3029.4,1429.4,Email Campaign,Debit Card,Desktop,1,4,1600
ORD10104,2024-03-07,March,3,Q1,Sports,Dumbbell Set,Odisha,Bhubaneswar,2,1831,10,3295.8,1695.8,Email Campaign,Net Banking,Desktop,0,3,1600
ORD10105,2024-03-10,March,3,Q1,Electronics,Earbuds,Kerala,Kochi,4,1462,0,5848.0,1048.0,Paid Ad,Cash on Delivery,Mobile,0,4,4800
ORD10106,2024-12-03,December,12,Q4,Home & Kitchen,Air Fryer,Odisha,Bhubaneswar,1,4327,0,4327.0,1827.0,Social Media,Cash on Delivery,Mobile,0,3,2500
ORD10107,2024-09-17,September,9,Q3,Home & Kitchen,Pressure Cooker,West Bengal,Kolkata,1,1196,15,1016.6,216.6,Email Campaign,UPI,Desktop,1,4,800
ORD10108,2024-12-10,December,12,Q4,Fashion,Sneakers,Telangana,Hyderabad,2,2788,5,5297.2,2297.2,Direct,Debit Card,Desktop,0,4,3000
ORD10109,2024-08-31,August,8,Q3,Home & Kitchen,Pressure Cooker,Punjab,Chandigarh,1,1234,5,1172.3,372.3,Direct,UPI,Mobile,0,1,800
ORD10110,2024-07-05,July,7,Q3,Electronics,Smartphone,Odisha,Bhubaneswar,4,18588,15,63199.2,3199.2,Social Media,Debit Card,Mobile,0,5,60000
ORD10111,2024-11-06,November,11,Q4,Fashion,Jeans,Uttar Pradesh,Lucknow,1,1199,20,959.2,159.2,Direct,UPI,Mobile,0,4,800
ORD10112,2024-09-15,September,9,Q3,Beauty,Moisturiser,Odisha,Bhubaneswar,2,486,20,777.6,377.6,Organic Search,Debit Card,Mobile,0,4,400
ORD10113,2024-05-05,May,5,Q2,Beauty,Face Serum,West Bengal,Kolkata,1,355,15,301.75,1.75,Organic Search,Net Banking,Desktop,0,5,300
ORD10114,2024-04-16,April,4,Q2,Fashion,Sneakers,Uttar Pradesh,Bareilly,1,1831,5,1739.45,239.45,Email Campaign,Net Banking,Mobile,0,5,1500
ORD10115,2024-01-30,January,1,Q1,Fashion,Jeans,Telangana,Hyderabad,2,1051,10,1891.8,291.8,Direct,Credit Card,Mobile,0,4,1600
ORD10116,2024-06-01,June,6,Q2,Electronics,Smartwatch,Delhi,Delhi,4,7242,5,27519.6,13519.6,Email Campaign,UPI,Desktop,1,2,14000
ORD10117,2024-05-06,May,5,Q2,Sports,Yoga Mat,Tamil Nadu,Chennai,1,1013,20,810.4,410.4,Social Media,Debit Card,Desktop,0,5,400
ORD10118,2024-08-17,August,8,Q3,Fashion,Kurta Set,Madhya Pradesh,Bhopal,1,1077,10,969.3,369.3,Social Media,Cash on Delivery,Desktop,0,4,600
ORD10119,2024-01-24,January,1,Q1,Fashion,Saree,Rajasthan,Jaipur,2,1407,10,2532.6,132.6,Email Campaign,Credit Card,Desktop,1,4,2400
ORD10120,2024-11-16,November,11,Q4,Beauty,Hair Oil,Rajasthan,Jaipur,1,222,0,222.0,72.0,Direct,Debit Card,Mobile,0,4,150
ORD10121,2024-11-28,November,11,Q4,Beauty,Face Serum,Madhya Pradesh,Bhopal,1,820,0,820.0,520.0,Paid Ad,Credit Card,Mobile,0,5,300
ORD10122,2024-01-06,January,1,Q1,Home & Kitchen,Bedsheet Set,Uttar Pradesh,Lucknow,1,716,10,644.4,244.4,Paid Ad,Credit Card,Mobile,0,4,400
ORD10123,2024-12-12,December,12,Q4,Fashion,Jeans,Haryana,Gurugram,5,1031,20,4124.0,124.0,Direct,Credit Card,Mobile,0,4,4000
ORD10124,2024-05-28,May,5,Q2,Books,UPSC Guide,Maharashtra,Mumbai,3,628,0,1884.0,684.0,Paid Ad,UPI,Mobile,0,4,1200
ORD10125,2024-04-08,April,4,Q2,Home & Kitchen,Pressure Cooker,Uttar Pradesh,Bareilly,1,1691,0,1691.0,891.0,Direct,Cash on Delivery,Mobile,0,3,800
ORD10126,2024-08-31,August,8,Q3,Home & Kitchen,Bedsheet Set,Delhi,Delhi,1,552,10,496.8,96.8,Referral,Debit Card,Desktop,0,3,400
ORD10127,2024-09-27,September,9,Q3,Fashion,Kurta Set,Gujarat,Ahmedabad,1,891,5,846.45,246.45,Referral,UPI,Mobile,0,4,600
ORD10128,2024-04-11,April,4,Q2,Beauty,Moisturiser,Rajasthan,Jaipur,2,378,0,756.0,356.0,Email Campaign,Cash on Delivery,Desktop,0,5,400
ORD10129,2024-04-26,April,4,Q2,Fashion,Kurta Set,West Bengal,Kolkata,1,1365,0,1365.0,765.0,Direct,UPI,Mobile,0,5,600
ORD10130,2024-07-13,July,7,Q3,Beauty,Face Serum,Kerala,Kochi,1,398,5,378.1,78.1,Referral,UPI,Desktop,0,5,300
ORD10131,2024-10-06,October,10,Q4,Beauty,Face Serum,Gujarat,Ahmedabad,1,626,25,469.5,169.5,Paid Ad,Debit Card,Mobile,0,3,300
ORD10132,2024-02-13,February,2,Q1,Groceries,Organic Honey,Kerala,Kochi,1,362,5,343.9,63.9,Organic Search,Cash on Delivery,Mobile,0,3,280
ORD10133,2024-07-03,July,7,Q3,Electronics,Smartwatch,West Bengal,Kolkata,5,4910,25,18412.5,912.5,Email Campaign,UPI,Desktop,1,5,17500
ORD10134,2024-12-20,December,12,Q4,Fashion,Jeans,West Bengal,Kolkata,2,1990,15,3383.0,1783.0,Email Campaign,Cash on Delivery,Mobile,0,4,1600
ORD10135,2024-02-04,February,2,Q1,Fashion,Sneakers,West Bengal,Kolkata,2,3802,5,7223.8,4223.8,Direct,Debit Card,Desktop,0,3,3000
ORD10136,2024-09-12,September,9,Q3,Groceries,Organic Honey,West Bengal,Kolkata,1,537,25,402.75,122.75,Organic Search,Wallet,Mobile,0,5,280
ORD10137,2024-06-02,June,6,Q2,Home & Kitchen,Air Fryer,Madhya Pradesh,Bhopal,1,3278,15,2786.3,286.3,Organic Search,UPI,Desktop,0,5,2500
ORD10138,2024-04-02,April,4,Q2,Fashion,Sneakers,Madhya Pradesh,Bhopal,1,2354,5,2236.3,736.3,Direct,UPI,Desktop,0,5,1500
ORD10139,2024-08-17,August,8,Q3,Home & Kitchen,Pressure Cooker,Madhya Pradesh,Bhopal,1,1978,5,1879.1,1079.1,Email Campaign,UPI,Desktop,0,5,800
ORD10140,2024-02-24,February,2,Q1,Home & Kitchen,Bedsheet Set,Maharashtra,Mumbai,1,524,0,524.0,124.0,Referral,Debit Card,Desktop,0,3,400
ORD10141,2024-10-03,October,10,Q4,Groceries,Dry Fruits 500g,Delhi,Delhi,3,750,25,1687.5,637.5,Social Media,Credit Card,Mobile,0,4,1050
ORD10142,2024-08-17,August,8,Q3,Home & Kitchen,Air Fryer,Gujarat,Ahmedabad,1,3818,5,3627.1,1127.1,Direct,Debit Card,Mobile,0,5,2500
ORD10143,2024-03-12,March,3,Q1,Beauty,Face Serum,Telangana,Hyderabad,2,758,25,1137.0,537.0,Social Media,Credit Card,Mobile,0,4,600
ORD10144,2024-05-13,May,5,Q2,Fashion,Jeans,Tamil Nadu,Chennai,1,982,5,932.9,132.9,Email Campaign,Debit Card,Mobile,0,5,800
ORD10145,2024-03-03,March,3,Q1,Beauty,Moisturiser,Karnataka,Bengaluru,1,456,15,387.6,187.6,Paid Ad,UPI,Mobile,0,5,200
ORD10146,2024-11-06,November,11,Q4,Fashion,Saree,Maharashtra,Mumbai,1,2614,10,2352.6,1152.6,Paid Ad,Debit Card,Mobile,0,5,1200
ORD10147,2024-10-24,October,10,Q4,Beauty,Moisturiser,Delhi,Delhi,1,455,0,455.0,255.0,Paid Ad,Debit Card,Desktop,0,4,200
ORD10148,2024-09-16,September,9,Q3,Fashion,Saree,Madhya Pradesh,Bhopal,5,1935,5,9191.25,3191.25,Organic Search,Credit Card,Mobile,0,4,6000
ORD10149,2024-11-21,November,11,Q4,Home & Kitchen,Air Fryer,Gujarat,Ahmedabad,4,5311,0,21244.0,11244.0,Social Media,Credit Card,Desktop,0,4,10000
ORD10150,2024-02-18,February,2,Q1,Home & Kitchen,Bedsheet Set,Uttar Pradesh,Bareilly,1,1011,25,758.25,358.25,Social Media,UPI,Desktop,0,4,400
ORD10151,2024-07-23,July,7,Q3,Fashion,Jeans,Rajasthan,Jaipur,1,1536,10,1382.4,582.4,Email Campaign,UPI,Mobile,0,3,800
ORD10152,2024-12-04,December,12,Q4,Fashion,Kurta Set,Rajasthan,Jaipur,3,961,0,2883.0,1083.0,Email Campaign,Credit Card,Mobile,0,4,1800
ORD10153,2024-01-01,January,1,Q1,Electronics,Earbuds,Uttar Pradesh,Bareilly,1,2191,10,1971.9,771.9,Social Media,Debit Card,Desktop,0,5,1200
ORD10154,2024-08-13,August,8,Q3,Electronics,Smartwatch,Gujarat,Ahmedabad,1,7275,0,7275.0,3775.0,Organic Search,Net Banking,Mobile,0,5,3500
ORD10155,2024-01-25,January,1,Q1,Beauty,Moisturiser,Karnataka,Bengaluru,1,513,0,513.0,313.0,Paid Ad,Debit Card,Mobile,0,4,200
ORD10156,2024-05-22,May,5,Q2,Groceries,Dry Fruits 500g,Delhi,Delhi,2,748,0,1496.0,796.0,Social Media,Wallet,Mobile,0,5,700
ORD10157,2024-01-04,January,1,Q1,Books,UPSC Guide,Rajasthan,Jaipur,2,579,0,1158.0,358.0,Organic Search,UPI,Mobile,0,5,800
ORD10158,2024-08-23,August,8,Q3,Beauty,Moisturiser,Telangana,Hyderabad,5,398,25,1492.5,492.5,Organic Search,UPI,Mobile,0,5,1000
ORD10159,2024-01-30,January,1,Q1,Groceries,Organic Honey,Haryana,Gurugram,3,366,20,878.4,38.4,Direct,UPI,Mobile,0,2,840
ORD10160,2024-07-10,July,7,Q3,Home & Kitchen,Air Fryer,Tamil Nadu,Chennai,1,4282,0,4282.0,1782.0,Paid Ad,Debit Card,Mobile,0,3,2500
ORD10161,2024-10-08,October,10,Q4,Fashion,Saree,Haryana,Gurugram,1,3389,25,2541.75,1341.75,Paid Ad,Debit Card,Mobile,0,1,1200
ORD10162,2024-10-12,October,10,Q4,Fashion,Jeans,Uttar Pradesh,Lucknow,1,1676,0,1676.0,876.0,Paid Ad,UPI,Mobile,0,5,800
ORD10163,2024-05-04,May,5,Q2,Beauty,Face Serum,Gujarat,Ahmedabad,3,441,5,1256.85,356.85,Referral,Cash on Delivery,Mobile,0,4,900
